,date,anxiety_tweets_counts,confinement,depression_tweets_counts,suicide_tweets_counts,psychiatrie_tweets_counts,psychologie_tweets_counts
62,2020-03-16 00:00:00+00:00,2874,oui,11890.0,4682.0,2127.0,4130.0
63,2020-03-23 00:00:00+00:00,3273,oui,12356.0,4885.0,2594.0,5728.0
64,2020-03-30 00:00:00+00:00,2996,oui,21425.0,5839.0,2987.0,6565.0
65,2020-04-06 00:00:00+00:00,2550,oui,10750.0,6660.0,2811.0,6132.0
66,2020-04-13 00:00:00+00:00,2355,oui,11101.0,6833.0,2541.0,5994.0
67,2020-04-20 00:00:00+00:00,2158,oui,10118.0,23203.0,2670.0,6445.0
68,2020-04-27 00:00:00+00:00,2235,oui,9458.0,5087.0,3843.0,6608.0
69,2020-05-04 00:00:00+00:00,2171,oui,9372.0,5923.0,2748.0,169816.0
70,2020-05-11 00:00:00+00:00,2239,oui,8244.0,5726.0,3010.0,6025.0
71,2020-05-18 00:00:00+00:00,1798,non,7647.0,5576.0,2421.0,5247.0
72,2020-05-25 00:00:00+00:00,1737,non,7586.0,5623.0,2383.0,5133.0
73,2020-06-01 00:00:00+00:00,1642,non,6726.0,6019.0,2188.0,4944.0
74,2020-06-08 00:00:00+00:00,2017,non,8282.0,8047.0,2558.0,5542.0
75,2020-06-15 00:00:00+00:00,1877,non,8335.0,7649.0,2608.0,4822.0
76,2020-06-22 00:00:00+00:00,1846,non,7710.0,5880.0,2711.0,4800.0
77,2020-06-29 00:00:00+00:00,1944,non,7412.0,5472.0,2529.0,4526.0
78,2020-07-06 00:00:00+00:00,1929,non,8682.0,7803.0,2660.0,4738.0
79,2020-07-13 00:00:00+00:00,1987,non,8304.0,7675.0,2471.0,4895.0
80,2020-07-20 00:00:00+00:00,1802,non,8109.0,6126.0,3074.0,4561.0
81,2020-07-27 00:00:00+00:00,1964,non,8815.0,5951.0,3352.0,5003.0
82,2020-08-03 00:00:00+00:00,2030,non,8448.0,6017.0,2876.0,4956.0
83,2020-08-10 00:00:00+00:00,2133,non,8486.0,6696.0,2696.0,4667.0
84,2020-08-17 00:00:00+00:00,2489,non,9630.0,7234.0,2911.0,5176.0
85,2020-08-24 00:00:00+00:00,2572,non,11021.0,7909.0,2979.0,5112.0
86,2020-08-31 00:00:00+00:00,3153,non,10355.0,6160.0,3244.0,5622.0
87,2020-09-07 00:00:00+00:00,2716,non,8950.0,7289.0,2984.0,5128.0
88,2020-09-14 00:00:00+00:00,2605,non,9200.0,8324.0,3327.0,5562.0
89,2020-09-21 00:00:00+00:00,2534,non,9274.0,5854.0,2754.0,5388.0
90,2020-09-28 00:00:00+00:00,2524,non,12415.0,8168.0,28773.0,5724.0
91,2020-10-05 00:00:00+00:00,2481,non,10317.0,6427.0,3584.0,5359.0
92,2020-10-12 00:00:00+00:00,2607,non,9991.0,6476.0,3722.0,5663.0
93,2020-10-19 00:00:00+00:00,2444,non,9844.0,5581.0,3107.0,5319.0
94,2020-10-26 00:00:00+00:00,2782,oui,11998.0,7285.0,3520.0,5654.0
95,2020-11-02 00:00:00+00:00,4523,oui,25302.0,11326.0,4324.0,6780.0
96,2020-11-09 00:00:00+00:00,3121,oui,12837.0,6660.0,3286.0,6221.0
97,2020-11-16 00:00:00+00:00,3046,oui,13428.0,6781.0,3522.0,6558.0
98,2020-11-23 00:00:00+00:00,2895,oui,13826.0,7858.0,3750.0,7198.0
99,2020-11-30 00:00:00+00:00,2695,oui,12922.0,8084.0,3372.0,7057.0
100,2020-12-07 00:00:00+00:00,2450,oui,11258.0,6480.0,3674.0,6268.0
101,2020-12-14 00:00:00+00:00,2557,oui,12880.0,7689.0,6423.0,6332.0
102,2020-12-21 00:00:00+00:00,2469,non,11204.0,8688.0,3944.0,5905.0
103,2020-12-28 00:00:00+00:00,3070,non,11667.0,6269.0,3079.0,5054.0
104,2021-01-04 00:00:00+00:00,2755,non,12352.0,6841.0,2920.0,5548.0
105,2021-01-11 00:00:00+00:00,2851,non,12271.0,9654.0,3929.0,6952.0
106,2021-01-18 00:00:00+00:00,2934,non,15939.0,11866.0,3567.0,8602.0
107,2021-01-25 00:00:00+00:00,2578,non,14546.0,9703.0,3794.0,8210.0
108,2021-02-01 00:00:00+00:00,3063,non,14512.0,8769.0,3968.0,8176.0
109,2021-02-08 00:00:00+00:00,2764,non,13220.0,8477.0,3791.0,7603.0
110,2021-02-15 00:00:00+00:00,2192,non,12665.0,8419.0,3760.0,6775.0
111,2021-02-22 00:00:00+00:00,2506,non,11698.0,9041.0,3630.0,7010.0
112,2021-03-01 00:00:00+00:00,2538,non,11787.0,8779.0,4043.0,6747.0
113,2021-03-08 00:00:00+00:00,2432,non,11875.0,7328.0,3851.0,7011.0
114,2021-03-15 00:00:00+00:00,2603,non,11556.0,8740.0,3856.0,7780.0
115,2021-03-22 00:00:00+00:00,2570,non,13251.0,7694.0,3985.0,7779.0
116,2021-03-29 00:00:00+00:00,2626,non,13303.0,9458.0,4232.0,7782.0
117,2021-04-05 00:00:00+00:00,2488,non,12479.0,7182.0,3577.0,6693.0
118,2021-04-12 00:00:00+00:00,2694,non,12586.0,9146.0,4004.0,6773.0
119,2021-04-19 00:00:00+00:00,2669,non,12729.0,7674.0,5302.0,7572.0
