region,date,loneliness_covidistress_target,stress_covidistress_target,support,incid_hosp_features_hospit,incid_rea_features_hospit,incid_dc_features_hospit,incid_rad_features_hospit
Provence-Alpes-Côte d'Azur,2020-04-20,0.3333333333333333,0.4708333333333332,6,909,134,157,740
Provence-Alpes-Côte d'Azur,2020-04-27,0.6111111111111112,0.5416666666666666,3,773,113,157,650
Provence-Alpes-Côte d'Azur,2020-05-04,0.4666666666666667,0.5599999999999999,5,455,59,79,539
Provence-Alpes-Côte d'Azur,2020-05-11,0.3333333333333333,0.449074074074074,27,267,44,66,334
Provence-Alpes-Côte d'Azur,2020-05-25,0.9166666666666666,0.6,1,115,9,35,194
Provence-Alpes-Côte d'Azur,2020-06-01,0.3333333333333333,0.475,1,70,10,14,152
Île-de-France,2020-03-30,0.3333333333333333,0.45,2,7314,1460,771,1779
Île-de-France,2020-04-06,0.3571954632493742,0.4879584622182942,2263,9370,1655,1420,3333
Île-de-France,2020-04-13,0.38133097762073,0.4867491166077737,283,7234,1158,1375,3938
Île-de-France,2020-04-20,0.3730158730158729,0.499404761904762,42,4795,691,1260,3837
Île-de-France,2020-04-27,0.356060606060606,0.4522727272727273,11,3166,425,774,3248
Île-de-France,2020-05-04,0.3333333333333333,0.49375,16,1924,266,537,2231
Île-de-France,2020-05-11,0.365,0.4708333333333335,150,1443,201,332,2365
Île-de-France,2020-05-18,0.324074074074074,0.5249999999999999,9,1007,143,246,1990
Île-de-France,2020-05-25,0.1944444444444444,0.5583333333333333,3,741,108,192,1356
Île-de-France,2020-06-01,0.5833333333333334,0.425,1,464,56,176,1163
